what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318845558264
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318845559264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845559873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845560904
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.debug",1318845568217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845568217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845568279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318845574185
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318845577982
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318845580357
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318845582670
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.stop",1318845582763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1318845583560
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318845585326
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318845586419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845592638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845597685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845598825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845600232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845615778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845619013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318845667059
