what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359632740
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324359632802
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359633474
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324359636943
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359640614
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324359642880
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1324359646349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359646583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359647677
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1324359648317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359648973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359691081
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324359691097
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324359693285
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359693675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359699316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359708081
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324359717190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359719440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359721190
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324359721299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359721362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359724409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359724877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359726002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359726033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359730908
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359733252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359758986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359761564
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324359781485
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359802422
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324359810750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359813046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359888325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359889356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359890028
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359892638
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324359893169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359895309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359896919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359897544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359900700
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324359900715
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324359903012
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1324359904981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359906262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359907340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359907543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359910199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359912184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324359913512
