what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1324360645301
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1324360645301
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1324360645301
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1324360645301
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1324360645301
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1324360645301
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1324360645301
os,sysinfo,,,"win32",1324360645301
arch,sysinfo,,,"x86",1324360645301
ws,sysinfo,,,"win32",1324360645301
locale,sysinfo,,,"zh_CN",1324360645301
processors,sysinfo,,,"2",1324360645301
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1324360645301
java.runtime.version,sysinfo,,,"1.5.0_20-b02",1324360645301
java.specification.name,sysinfo,,,"Java Platform API Specification",1324360645301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324360645301
java.specification.version,sysinfo,,,"1.5",1324360645301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1324360645301
java.version,sysinfo,,,"1.5.0_20",1324360645301
java.vm.info,sysinfo,,,"mixed mode",1324360645301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324360645301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324360645301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324360645301
java.vm.specification.version,sysinfo,,,"1.0",1324360645301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1324360645301
java.vm.version,sysinfo,,,"1.5.0_20-b02",1324360645301
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324360657285
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324360658285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324360661097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324360672206
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1324360674722
started,bundle,org.eclipse.jst.jee,1.0.303.v201103311600,"org.eclipse.jst.jee",1324360674878
opened,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324360674909
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324360674941
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.debug",1324360677847
