what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318838717404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838727825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838727825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838727888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838732966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838755153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838755153
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838755481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838761246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838787714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838787714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838787793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838793746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318838815120
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318838816589
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838818292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838818307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838818386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838825495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838833354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838833354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838833682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838834854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838852978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838852978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838853291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838855088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838867619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838898118
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318838907383
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318838913649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838930273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838939992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838963554
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318838963866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839078348
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839084972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839096097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839096097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839096175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839097628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839104706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839132174
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318839133221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839148065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839148096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839148408
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839149221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839149674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839149705
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839150283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839150674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839151580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839198563
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318839259874
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318839266952
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318839274530
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318839277311
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318839498384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318839499337
