what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361486212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361486446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361505633
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324361506039
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324361513086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361533023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361535351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1324361535382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361539600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361549834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1324361549850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1324361549850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361555319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361565850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1324361565881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1324361565881
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1324361570537
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.stop",1324361570584
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324361573099
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324361597958
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324361599317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361601942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361737094
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324361737110
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324361738422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361770921
started,bundle,org.eclipse.jst.servlet.ui,1.1.405.v201104141500,"org.eclipse.jst.servlet.ui",1324361784139
started,bundle,org.eclipse.jst.j2ee.ui,1.1.405.v201104141600,"org.eclipse.jst.j2ee.ui",1324361784186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361798358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1324361798389
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1324361798905
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324361802136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361803992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361808048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1324361808080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324361814336
