what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912656623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912664107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912672091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912672919
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912692950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318912698793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912700965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912700965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912701043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912712871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318912723074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912744370
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912744370
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912744558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912745417
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318912748198
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318912749198
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318912750480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912754651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912791603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912793041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912802572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912804275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912804275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912804369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912806978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318912810712
started,bundle,Axis2_Service_Archiver,1.3.0,"Axis2_Service_Archiver",1318912814197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913847748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1318913847779
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1318913866373
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProgressView",1318913873122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913876107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913876107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913876216
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913883060
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318913883575
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318913887356
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1318913889934
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1318913891106
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1318913891856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913896637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913915840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318913921356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914288549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1318914288580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914290596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914295455
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914296127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914296127
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914296471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914402953
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318914413062
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318914414437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914416077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914416077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914416405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914417218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914417577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914418202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914419858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914436858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318914437170
