what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318834343130
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318834345052
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318834345271
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318834345474
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318834354114
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318834354380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834376442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834377488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318834380332
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834405582
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834406660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834407441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834534219
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318834536484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834544609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834693668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834695402
started,bundle,org.eclipse.pde,3.6.0.v201006080911,"org.eclipse.pde",1318834701871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834749495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834751401
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.0.v201005270700,"org.eclipse.wst.common.modulecore.ui",1318834757416
started,bundle,org.eclipse.jst.j2ee.ui,1.1.400.v201006030400,"org.eclipse.jst.j2ee.ui",1318834757432
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1318834757448
started,bundle,org.eclipse.jst.common.ui,1.0.0.v201005270700,"org.eclipse.jst.common.ui",1318834757510
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1318834757744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834763197
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1318834763244
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834764525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834870054
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834872585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834943255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1318834943287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834946599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834947271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834947505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834947708
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834947865
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834948036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318834948224
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318834950880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834973723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834973833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834973958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318834977676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318834978645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318834986457
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1318834999426
