what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926362394
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926362722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926386909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926391362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926391393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926392081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926392112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926392440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926399440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926401221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926401253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926401628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926402534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926402862
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926402909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926402956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926412377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926420768
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926428064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926428143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926431080
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1318926434189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926434221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926436095
opened,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926443736
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926444892
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926452001
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926463548
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318926480766
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1318926483625
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926488953
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1318926489047
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318926497563
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926503609
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926524859
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318926526046
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1318926529077
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926550733
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926567108
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318926568358
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926574811
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProgressView",1318926576061
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926576701
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926751478
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1318926751494
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318926752619
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1318926755134
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926756009
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1318926763275
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926767165
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318926770556
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1318926771712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926771821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926774899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926780571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318926787258
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318926788946
